lat,lng,date,crime
40.6810719,-73.82636747,1/3/15,ROBBERY
40.75670746,-73.98449494,1/3/15,ROBBERY
40.8231013,-73.86969046,1/3/15,RAPE
40.84993293,-73.90562109,1/3/15,ROBBERY
40.86441093,-73.92376778,1/3/15,ROBBERY
40.82721564,-73.87980702,1/3/15,ROBBERY
40.66429776,-73.90258921,1/3/15,ROBBERY
40.69336794,-73.97584783,1/3/15,ROBBERY
40.79213089,-73.93617279,1/3/15,ROBBERY
40.69385066,-73.75623102,1/3/15,ROBBERY
40.6756464,-73.9271849,1/3/15,ROBBERY
40.67970041,-73.77604737,1/3/15,RAPE
40.86943812,-73.85200954,1/3/15,ROBBERY
40.68904826,-73.95861698,1/3/15,ROBBERY
40.69267621,-73.90957595,1/3/15,ROBBERY
40.73026107,-73.81414857,1/3/15,ROBBERY
40.69514091,-73.97512595,1/3/15,ROBBERY
40.76036142,-73.99123344,1/3/15,ROBBERY
40.63651444,-73.91571594,1/3/15,ROBBERY
40.85933523,-73.93131468,1/3/15,ROBBERY
40.68466727,-73.913553,1/3/15,ROBBERY
40.80391599,-73.96702313,1/3/15,ROBBERY
40.86426386,-73.88812409,1/3/15,ROBBERY
40.84648358,-73.89385028,1/3/15,ROBBERY
40.60116017,-73.97838755,1/3/15,ROBBERY
40.6797434,-73.95139762,1/3/15,ROBBERY
40.71114583,-73.81035673,1/3/15,ROBBERY
40.70243943,-73.81715468,1/3/15,ROBBERY
40.63239496,-74.10976075,1/3/15,ROBBERY
40.74641675,-73.77006678,1/3/15,ROBBERY
40.65475125,-74.00736803,1/3/15,ROBBERY
40.6700364,-73.90842787,1/3/15,ROBBERY
40.84583861,-73.93446227,1/3/15,ROBBERY
40.70336708,-73.8333676,1/3/15,ROBBERY
40.60093626,-73.94781067,1/3/15,ROBBERY
40.66726658,-73.87087805,1/3/15,ROBBERY
40.61317033,-74.03666017,1/3/15,ROBBERY
40.86076274,-73.90465132,1/3/15,ROBBERY
40.745805,-73.98228159,1/3/15,ROBBERY
40.75542866,-73.98652375,1/3/15,ROBBERY
40.74051214,-73.79287943,1/3/15,ROBBERY
40.83257027,-73.86942258,1/3/15,ROBBERY
40.6885734,-73.93018166,1/3/15,ROBBERY
40.63325701,-74.12054189,1/3/15,ROBBERY
40.70341441,-73.91777731,1/4/15,ROBBERY
40.59377141,-73.7582347,1/4/15,ROBBERY
40.700727,-73.92979025,1/4/15,ROBBERY
40.66800582,-73.94928299,1/4/15,ROBBERY
40.68220946,-73.83656807,1/4/15,ROBBERY
40.87453051,-73.87613811,1/4/15,ROBBERY
40.65396206,-73.91815541,1/4/15,ROBBERY
40.66319351,-73.91539748,1/4/15,ROBBERY
40.66369525,-73.88892545,1/4/15,ROBBERY
40.88745131,-73.84760779,1/4/15,ROBBERY
40.7095531,-73.79394591,1/4/15,ROBBERY
40.86170185,-73.90188071,1/4/15,ROBBERY
40.87893274,-73.90478799,1/4/15,ROBBERY
40.67547459,-73.93849438,1/4/15,ROBBERY
40.69911535,-73.83331331,1/4/15,ROBBERY
40.77688496,-73.94937338,1/4/15,ROBBERY
40.74361491,-73.98378344,1/4/15,ROBBERY
40.82434298,-73.95337682,1/4/15,ROBBERY
40.75032662,-73.99111205,1/4/15,ROBBERY
40.66423919,-73.919098,1/4/15,ROBBERY
40.74479336,-73.99329255,1/4/15,ROBBERY
40.85616296,-73.84439712,1/4/15,ROBBERY
40.69612774,-73.93617093,1/4/15,ROBBERY
40.66356386,-73.93160998,1/4/15,ROBBERY
40.75491564,-73.97247597,1/4/15,ROBBERY
40.62242119,-74.16241307,1/4/15,ROBBERY
40.68740162,-73.94036919,1/4/15,ROBBERY
40.67283536,-73.98160161,1/4/15,ROBBERY
40.6295272,-73.92508084,1/4/15,ROBBERY
40.710744,-73.96181017,1/4/15,ROBBERY
40.68040458,-73.90989905,1/4/15,ROBBERY
40.58677589,-74.16139749,1/4/15,ROBBERY
40.61261363,-74.08312222,1/4/15,ROBBERY
40.76313974,-73.81884353,1/4/15,ROBBERY
40.852842,-73.88417431,1/4/15,ROBBERY
40.61032583,-73.98303787,1/4/15,ROBBERY
40.66617746,-73.98880909,1/4/15,ROBBERY
40.62910194,-74.02279883,1/4/15,ROBBERY
40.62572199,-73.93729018,1/4/15,ROBBERY
40.63345105,-73.94773841,1/4/15,ROBBERY
40.68820891,-73.98205891,1/4/15,ROBBERY
40.69752973,-73.93042112,1/4/15,ROBBERY
